"* Required Fields","* Обязательное поле"
"Offline","Не в сети"
"Online","В сети"
"Online Customers","Пользователи на сайте"
"Online Customers Options","Параметры для пользователей на сайте"
"Online Minutes Interval","Интервал в минутах"
"Order #","Заказ #"
"Order #%s (%s)","Заказ # %s (%s)"
"Order List...","Список заказов ..."
"Order Total","Итог заказа"
"Orders","Заказы"
"PDF","PDF"
"Password","Пароль"
"Password Management","Управление паролем"
"Password Options","Параметры пароля"
"Password can\'t be empty","Пароль должен быть указан"
"Password fields can\'t be empty.","Пароли должны быть указаны."
"Password forgotten","Забытый пароль"
"Password minimal length must be more %s","Пароль должен быть длиннее %s симв."
"Password must have at least 6 characters. Leading or trailing spaces will be ignored.","Пароль должен состоять не менее чем из 6 символов. ведущий пробел или пробел в конце будут игнорированы."
"Paused","Приостановлено"
"Payment Method","Метод оплаты"
"Pending","Ожидает решения"
"Per Website","Для веб-сайта"
"Personal Information","Личная информация"
"Please enter your email below and we\'ll send you a new password.","Введите ниже Ваш адрес эл. почты для получения нового пароля."
"Please enter your email below and we\'ll send you confirmation link for it.","Введите ниже Ваш адрес эл. почты для получения кода подтверждения."
"Please enter your email.","Введите Ваш адрес эл. почты."
"Please make sure your passwords match.","Убедитесь, что пароли совпадают."
"Please select","Пожалуйста, выберите"
"Please select region, state or province","Выберите область (или штат, провинцию)"
"Please, check your e-mail for confirmation key.","Код подтверждения выслан, проверьте Вашу эл. почту."
"Prefix","Префикс"
"Prefix dropdown options","Префикс (выпадающий список)"
"Price","Цена"
"Primary Billing Address","Основной платёжный адрес"
"Primary Shipping Address","Основной адрес доставки"
"Problem saving the collection, aborting. Error: %s","Останов, при сохранении коллекции произошла ошибка: %s"
"Product","Товар"
"Product ID","ID товара"
"Product Name","Название товара"
"Product Reviews","Отзывы о товаре"
"Product Tags","Тэги товара"
"Product name","Название товара"
"Purchase On","Куплен"
"Purchased at","Куплен на"
"Qty","Кол-во"
"Recent Orders","Новые заказы"
"Records for ""","Записи для """
"Refunded","Возвращено"
"Registered Customers","Для зарегистрированных пользователей"
"Remove","Удалить"
"Require Emails Confirmation","Необходимо подтверждение по эл. почте"
"Retrieve address data","Получение адресный данных"
"Retrieve address info","Получение адресный данных"
"Retrieve customer addresses","Получение адресов покупателя"
"Retrieve customer data","Получение данных покупателя"
"Retrieve customer's groups","Получение групп покупателя"
"Retrieve customers","Получение списка покупателей"
"Retrieve customers info","Получение информации о покупателях"
"Retrieve your confirmation link here","Получите Ваш код подтверждения по эл. почте здесь"
"Retrieve your password here","Восстановите Ваш пароль здесь"
"SKU","SKU"
"Sales Statistics","Статистика продаж"
"Save","Сохранить"
"Save Address","Сохранить адрес"
"Save Customer","Сохранить пользователя"
"Save Customer Group","Сохранить пользовательскую группу"
"Save Password","Сохранить пароль"
"Saved ","Сохранено "
"Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field.","Semicolon (;) separated values.<br/>Put semicolon in the beginning for empty first option.<br/>Leave empty for open text field."
"Send Welcome Email after Confirmation","Отправить приветственное сообщение после получения кода подтвержения"
"Send auto-generated password","Отправить автоматически генерируемый пароль"
"Send confirmation link","Отправить ссылку кода подтвержения"
"Send welcome email","Отправить приветственное сообщение"
"Sending","Отправка"
"Sent","Отправлено"
"Session Start Time","Начало времени сессии"
"Set as Default Billing Address","Установить как платежный адрес по умолчанию"
"Set as Default Shipping Address","Установить как адрес доставки по умолчанию"
"Share Customer Accounts","Уровень разделения аккаунтов"
"Ship to First name","Доставка на имя"
"Ship to Last name","Доставка на фамилию"
"Shipped to First Name","Доставлено на имя"
"Shipped to Last Name","Доставлено на фамилию"
"Shipped to Name","Отгружено на имя"
"Shipping Information","Информация о доставке"
"Shipping Method","Метод длоставки"
"Shopping Cart","Товарная корзина"
"Shopping Cart - %d item(s)","Корзина -%d товар(ов)"
"Show Tax/VAT number","Показывать номер плательщика НДС (ИНН)"
"Show date of birth","Показывать дату рождения"
"Show middle name (initial)","Показывать отчество"
"Show prefix","Показывать обращение"
"Show suffix","Показывать суффикс"
"Sign Up for Newsletter","Подписаться на рассылку"
"Sign up for our newsletter","Подписаться на нашу рассылку"
"Skip import row, required field ""%s"" not defined","Пропуск строки, не определено обязательное поле ""%s"""
"Skip import row, website ""%s"" field not exists","Пропуск строки, не определено поле для веб-сайта ""%s"""
"State/Province","Область, штат, провинция"
"Status","Статусs"
"Store","Магазин"
"Store View","Вид магазина"
"Street Address","Улица"
"Street Address ","Улица "
"Subject","Тема"
"Submit","Отправить"
"Subscribe","Подписаться"
"Subscribe to newsletter","Подписать на новости"
"Subscribed to Newsletter?","Уже подписаны на новости?"
"Suffix","Суффикс"
"Suffix dropdown options","Суффикс (выпадающий список)"
"TAX/VAT number is required.","Требуется номер плательщика НДС (ИНН)."
"Tag Name","Название тэга"
"Tax Class","Класс налога"
"Tax class","Класс налога"
"Tax/VAT number","Номер плательщика НДС (ИНН)"
"Telephone","Телефон"
"Text","Текст"
"Text One Line","Текст одной линией"
"Thank you for registering with %s","Благодарим Вас за регистрацию в %s"
"The address does not belong to this customer","Этот адрес не принадлежит этому пользователю"
"The address was successfully deleted","Этот адрес был удален"
"The address was successfully saved","Этот адрес был успешно сохранен"
"The suffix that goes after name (Jr., Sr., etc.)","Суффикс используется после имени (Jr., Sr. и т.д.)"
"The title that goes before name (Mr., Mrs., etc.)","Обращение используется до имени (Mr., Mrs. и т.д.)"
"There are no items in customer's wishlist at the moment","В данный момент в хотелке пользователя нет товаров"
"There are no items in customer\'s shopping cart at the moment","В данный момент в корзине у пользователя нет товаров"
"There was an error while deleting the address","Во время удаления адреса произошла ошибка"
"This Email will be sent instead of Default Welcome Email, after Account Confirmation.","Это письмо будет отправлено вместо стандартного приветственного письма, после принятия кода подтвержндения."
"This account is not confirmed.","Эта учётная запись не подтверждена."
"This customer has no saved addresses.","У этого пользователя нет сохраненных адресов."
"This e-mail does not require confirmation.","Это адрес эл. почты не требует подтверждения."
"This email address was not found in our records","Этот адрес не найден в наших записях"
"This is My Primary %s Address","Это мой основной %s адрес"
"To Cart","В корзину"
"Total","Сумма"
"Type","Type"
"Unknown","Неизвестный"
"Unsubscribe from newsletter","Отписать от новостей"
"Update","Обновление"
"Update customer address data","Обновить адресные данные покупателя"
"Update customer data","Обновить данные покупателя"
"Use as My Primary %s Address","Использование в качестве моего основного %s адреса"
"Use as my default billing address","Использовать в качестве моего платежного адреса по умолчанию"
"Use as my default shipping address","Использовать в качестве моего адреса доставки по умолчанию"
"User description","Пользовательское описание"
"View","Cмотреть"
"View Order","Cмотреть заказ"
"View Order List","Просмотреть список заказов"
"Visible In","Видно в"
"Visitor","Посетитель"
"Visitors Only","Только для посетителей"
"Website","Сайт"
"Welcome Email","Приветственное письмо"
"Wishlist","Хотелка"
"Wishlist - %d item(s)","Отмеченные товары -%d шт."
"Wrong confirmation key.","Неверный код подтверждения."
"Wrong customer account specified.","Указана неверная учётная запись."
"Wrong email.","Указан неверный адрес эл. почты."
"Wrong region id by selected country","Неверный идентификатор региона для выбранной страны"
"Wrong transactional account email type.","Неверный тип эл. почты для учётной записи с транзакциями."
"XML","XML"
"YYYY","YYYY"
"Year","Year"
"You are currently not subscribed to any newsletter.","В настоящее время Вы не подписаны на какие-либо новости."
"You are currently not subscribed to our newsletter","В настоящее время Вы не подписаны на нашу рассылку новостей"
"You are currently subscribed to 'General Subscription'.","В настоящее время вы подписаны на 'Общую подписку'."
"You are currently subscribed to our newsletter","В настоящее время вы подписаны на рассылку новостей"
"You are currently subscribed to our newsletter.","В настоящее время вы подписаны на наши новости."
"You have been successfully logged out and will be redirected to our homepage in 5 seconds.","Вы успешно вошли в систему, и будете перенаправлены на нашу домашнюю страницу в течении 5 секунд."
"You have no additional address entries in your address book.","У вас нет дополнительных записей об адресе в адресной книге."
"You have no additional entries in your address book.","У вас никаких дополнительных адресов в адресной книге."
"You have no default billing address in your address book.","У вас платежного адреса по умолчанию в вашей адресной книге."
"You have no default shipping address in your address book.","У вас нет умолчанию адрес в адресную книгу."
"You have no primary entries in your address book.","У вас нет записи по умолчанию в адресной книге."
"You have not set a primary billing address.","У вас не установлен основной платежный адрес."
"You have not set a primary shipping address.","У вас не установлен основной адрес доставки."
"You have placed no orders yet.","Вы еще не разместили ниодного заказа"
"You have placed no products yet.","Вы еще не заказали ниодного товара"
"You're now Logged Out","Теперь вы вышли из системы"
"Your account balance is: %s","Баланс вашего счета: %s"
"ZIP","Почтовый индекс"
"ZIP/Post Code","Почтовый индекс"
"ZIP/Postal Code","Почтовый индекс"
"Zip/Postal Code","Почтовый индекс"
"n/a","Не доступно"
"or","Или"
